,tweet_id,tweet_text,choose_one_category,label_n
0,'591902695562170368',RT @PTI_News: Govt asks media houses to exercise restraint while speculating about possible aftershocks after the devastating quake in Nepa‰Û_,other_useful_information,2
1,'591902695822331904',"#money #news #top #b Magnitude-7.9 quake hits Nepal, causing big damage, injuries  Get $$ http://t.co/JfuQkytCx8",infrastructure_and_utilities_damage,1
2,'591902695943843840',RT @ABCNews24: #NepalEarthquake update: The Indian Army says 18 bodies have been found on #MountEverest after an #avalanche buried part of ‰Û_,injured_or_dead_people,0
3,'591902696371724288',RT @cnni: CNN obtains powerful images of baby rescued at least 22 hours after #NepalEarthquake hit: http://t.co/bITZgWrwVX http://t.co/7xkY‰Û_,missing_trapped_or_found_people,0
4,'591902696375877632',My thoughts and prayers to everyone in Nepal... http://t.co/X71NzSFThH,sympathy_and_emotional_support,3
5,'591902696895950848',RT @john: Prayers For Nepal http://t.co/tVwARmkdTG,sympathy_and_emotional_support,3
6,'591902696925364224',RT @cbanks420lol: These Baltimore niggers should move to Nepal.,not_related_or_irrelevant,3
7,'591902697248333825',"RT @BBCWorld: Our reports show #NepalEarthquake destruction, including epicentre http://t.co/mRMDDaIE4G &amp; http://t.co/PC6eTO27Wh http://t.c‰Û_",infrastructure_and_utilities_damage,1
8,'591902697395064832',@sweetasingh LIVE from Airport Kathmandu 19:03hrs in conversation with AOK in Studios http://t.co/r9dGNR8kBl,other_useful_information,2
9,'591902697478967296',RT @WayneRooney: Please support @Unicef_UK helping children in danger from #earthquake in #Nepal - http://t.co/56I1VKXUsA PLS RT,donation_needs_or_offers_or_volunteering_services,2
10,'591902697487405056',RT @ndtv: Thousands flee Kathmandu as India steps up relief efforts in Nepal: 10 developments http://t.co/2PSUwTRqv5 http://t.co/0yVpcvhjED,displaced_people_and_evacuations,0
11,'591902697705623553',"RT @SpokespersonMoD: #NepalEarthquake A C-17 Globemaster III aircraft with about 285 passengers on board is scheduled to arrive at Palam, D‰Û_",displaced_people_and_evacuations,0
12,'591902697848078336',"RT @_Adi_Angel_: #Israel airforce left 2 #Nepal to save lives,search &amp;rescue &amp; set up a field hospital. #NepalQuakeRelief #NepalQuake http:‰Û_",donation_needs_or_offers_or_volunteering_services,2
13,'591902698036797440',"RT @AnupKaphle: Dharahara, once Nepal's tallest monument, seen in 1920, 1934, 2013, today.  I hope we rebuild again. #NepalEarthquake http:‰Û_",infrastructure_and_utilities_damage,1
14,'591902698229739520',think of Nepal over 5000 daed my by more that isnot climate change its natur whatis next not even mother nature can help that how it is,injured_or_dead_people,0
15,'591902698254958592',"RT @iamsrk: May Allah look after all. Here r the emergency contact numbers for Nepal,share, help. Prayers with all in Nepal. http://t.co/Pz‰Û_",sympathy_and_emotional_support,3
16,'591902698502520832',Nepal #earthquake: climber captures Mount #Everest #avalanche  - #c4news http://t.co/PQVl4fGmYy,other_useful_information,2
17,'591902698552832000',kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake ‰Û_ http://t.co/FxC3K1WB3t,injured_or_dead_people,0
18,'591902698594701314',"RT @IsanGroula: #Kathmandu if your WiFi is working, #FreetheWiFi. Disable the password. Let people connect.",donation_needs_or_offers_or_volunteering_services,2
19,'591902698800295936',RT @Harry_Styles: Thinking about everyone involved in the Earthquake in Nepal.. Such awful news.,sympathy_and_emotional_support,3
20,'591902698879856640',RT @IPS_DC: Want to help #Nepal recover from the quake? Cancel its debt ‰ Õ http://t.co/zcul37C6Hd #NepalEarthquake http://t.co/fJsifVNft1,other_useful_information,2
21,'591902698900889601',RT @TerrellVito: Thoughts and prayers going out to the people of Nepal ‡__F ‡_Á4 http://t.co/Tj9DdPzBbt,sympathy_and_emotional_support,3
22,'591902699307708416',RT @cl0wreed: keep Nepal in ur thoughts pls,sympathy_and_emotional_support,3
23,'591902699580428289',"Buried for 5 days and still alive - Five days after a massive earthquake decimated large swaths of Nepal, flatteni... http://t.co/fWPxDUrLTc",missing_trapped_or_found_people,0
24,'591902700037656576',My Prayers for the people in #Nepal  please send positive thoughts and prayers  with me . http://t.co/nIoQj6a1FZ,sympathy_and_emotional_support,3
25,'591902700108980225',"RT @CNNweather: A storm system is about to move through #Kathmandu over the next few hours. Rain, strong winds, lightning possible. http://‰Û_",other_useful_information,2
26,'591902700524150784',RT @Asli_Jacqueline: Proud to hear @PMOIndia has extended support &amp; is sending relief to Nepal with the urgency that a situation like this ‰Û_,donation_needs_or_offers_or_volunteering_services,2
27,'591902700867981312',RT @TinyHandsIntl: UPDATE: 4/13-19 border teams helped intercept 23 victims #humantrafficking #Nepal prayers for them &amp; the border teams ht‰Û_,not_related_or_irrelevant,3
28,'591902700947808256',"If you want to help #Nepal, @GOOD has curated a number of ways you can lend your support: http://t.co/nCFC3V1Yub",donation_needs_or_offers_or_volunteering_services,2
29,'591902701711065088',RFI Khmer Radio - nepal earthquake 5days after: http://t.co/CdohnitX2f via @YouTube,other_useful_information,2
30,'591902701727850496',RT @SERVE_ON: Fantastic message of support from the lovely @470Girls we know Dan &amp; the team in #Nepal will be delighted. https://t.co/2k4dw‰Û_,sympathy_and_emotional_support,3
31,'591902701904101377',#GYASA with  #hope_nhumanity  #SaveNepal  #NepalQuakeRelief  #GoingfromDelhi #volentiersFromDelhi #jainepal  https://t.co/kzzbwaESY1,donation_needs_or_offers_or_volunteering_services,2
32,'591902701967007744',RT @EconomicTimes: #NepalQuake: Indian relief aircraft leaves for Nepal from Hindon Airbase (ANI) http://t.co/NW0sZHhbcb,donation_needs_or_offers_or_volunteering_services,2
33,'591902702285664256',"RT @Harry_Styles: To help those affected by the devastating earthquake in Nepal, text: DONATE5 to 70008 and give å£5. Thank you @savechildre‰Û_",donation_needs_or_offers_or_volunteering_services,2
34,'591902702583459841',"RT @AP: BREAKING: Nepal police official says at least 1,910 have died, including 721 in Kathmandu, in the quake",injured_or_dead_people,0
